,reviews,stars
0,"Hola , cuidado al publicar , están llamando ""compradores "" que te piden tus datos de bancos para transferir y así tratar de descubrir tu clave con los datos dados y terminan bloqueando tu cuenta , este mes me a tocado con 5 estafadores .....!!! Ojo estos tipos , no piden ni descuentos solo insisten en transferir una reserva ...!! Suerte y buenas ventas ....!!!",Calificación: 5 de cinco estrellas
1,"Considero que la aplicación carece de algunas cosas, por ejemplo: Sistema de reputación de vendedores, más que nada para detectar más fácilmente a estafadores u otro tipo de vendedores Distinta personalización de la aplicacion, es solo estética este punto no es necesario Poder ver los avisos activos y no activos, la aplicación muestra cuántos anuncios tiene y cuantos tiene activos, pero no muestra cuáles son esos Mejorar filtros de búsqueda, no hay mucho que decir de este punto.",Calificación: 3 de cinco estrellas
2,"Buena app e vendido hartas cosas .. pero encuentro que está muy obsoleto el sistema que tienen , por ejemplo no deja ver los demás anuncios de los vendedores pero si sale sus anuncios totales y los activos. Faltan algunos detalles , y a mi parecer la app está un poco botada... Por lo de menos tiene buen alcanse de clientela , Saludos .",Calificación: 3 de cinco estrellas
3,"Es demasiado básica. Necesita ajustes de personalización. Las imágenes son de muy baja calidad, a penas se pueden ver los detalles. Todo esto podría mejorar y más si agregaran ajustes para personalizar esta app. Hoy todos apuestan por el modo de interfaz oscuro y Yapo.cl? Por qué no crean un chat dentro de la app, entre compradores y vendedores? Debo dar a todos los vendedores mi correo o wsp para resolver una duda? Se están quedando demasiado atrás.",Calificación: 2 de cinco estrellas
4,Horrible...apenas abro la aplicación se cae inmediatamente...nose si es constante este problema o solo de este momento porque recién la instale...pero de primera impresión mala...,Calificación: 1 de cinco estrellas
5,Estimados! Sería bueno evaluaran para la próxima actualización agregar la opción del TEMA OSCURO (hoy en día todos buscamos ahorrar batería 😅) Saludos al equipo!,Calificación: 5 de cinco estrellas
6,"La app es buena, pero puede mejorar... De partida podrían agregar un sistema de reputación, tanto para vendedores como compradores, así se podría identificar más facilmente a los estafadores (en yapo abundan). También hay que mejorar el chat, 8 de cada 10 mensajes no se reciben... El filtro no está mal de todo, pero también podría filtrar un poquito mejor los resultados... Ojalá se tomen en consideración mis propuestas.",Calificación: 3 de cinco estrellas
7,Me voy muy triste y molesto a la vez de esta app Ya que fui estafado Al tener todos mis papeles de denuncia Yapo no me dio ningúna solución más que lamentar.,Calificación: 1 de cinco estrellas
8,"Deben mejorar un sistema de calificación tanto para compradores como vendedores, así también los mensajes fallan en ser enviados como también las notificaciones de la conversación.",Calificación: 3 de cinco estrellas
9,Ojo muchachos hay gente que esta estafando por este medio Pongan mucha atencion si les hacen transferencias ya que ahi te joden Para los que no nos manejamos mucho con las tranferencias mucho cuidado,Calificación: 1 de cinco estrellas
10,"Tengo problemas para lograr subir imágenes al momento de querer hacer una publicación de venta. Nosé si es un problema en la app o tiene que ver con la gama de mi celular, además no me está avisando sobre los mensajes en el momento en que llegan",Calificación: 3 de cinco estrellas
11,"La aplicación falla cuando llevas un buen rato en ella navegando, además los atajos para las secciones del menu son azarosas y no existe algún historial de las búsquedas. Tiene mucho que mejorar.",Calificación: 2 de cinco estrellas
12,Buena pagina para vender lamentablemente los vendedores no respoden casi nunca y más encima si ya vendieron el artículo no sacan el aviso si no hasta que uno pregunta.,Calificación: 5 de cinco estrellas
13,"Pésima aplicación, no se puede hacer compras,no responden los correos de servicio al cliente, horrible, primera vez que la utilizaba, obviamente me quedo con otras mucho más fáciles en pocos pasos realizas tu compra😡",Calificación: 1 de cinco estrellas
14,"Cuando publique un anuncio de venta de un videojuego, un rato después no me aparecia nada, intente publicarlo de nuevo pero me aparecia que estaba bloqueado.",Calificación: 1 de cinco estrellas
15,"Una gran opción para vender, arrendar o encontrar, popular y con mucho alcance. Felicitaciones.",Calificación: 4 de cinco estrellas
16,muy molesto el sistema de busqueda ya que a mi pareser no sirve de mucho ..la mayoria de los resultados en una busqueda no tienen nada que ver con lo que uno necesita ..1estrella es mucho,Calificación: 1 de cinco estrellas
17,"Mala, rústica, pobretona, basica y pco segura y para peor no se puede subir fotos ni editar que es lo minimo Tenía para mi todas las estrellas pero cuando cambian la app para mal es necesario comentarlo",Calificación: 1 de cinco estrellas
18,"Es una Muy Buena aplicación, me encantaría ver un sistema de reputación implementado como el de ""ML"" es mucho más fácil navegar en la app que en la web",Calificación: 5 de cinco estrellas
19,"Buena app si se desea vender algun producto. Eso si hay que tener cuidado con los que se quieren pasar de listos, estafadores, me he topado con varios. Ojo con dar datos de mas.",Calificación: 4 de cinco estrellas
20,Trato de editar mi perfil cambiándole el numero pork ese ya no lo tengo lo arreglo y al momento de publicar queda con el numero anterior al igual k al editar un anuncio puse una foto de un poleron k no debía de estar y trato de borrarlo y no puedo... Nesecito ayuda,Calificación: 3 de cinco estrellas
