,Unnamed: 0,reviews,stars,rating,sentiment,class,clean_reviews,clean_reviews_nb
0,0,"Hola , cuidado al publicar , están llamando ""compradores "" que te piden tus datos de bancos para transferir y así tratar de descubrir tu clave con los datos dados y terminan bloqueando tu cuenta , este mes me a tocado con 5 estafadores .....!!! Ojo estos tipos , no piden ni descuentos solo insisten en transferir una reserva ...!! Suerte y buenas ventas ....!!!",Calificación: 5 de cinco estrellas,5,positive,2,"hola , cuidado al publicar , están llamando ""compradores "" que te piden tus datos de bancos para transferir y así tratar de descubrir tu clave con los datos dados y terminan bloqueando tu cuenta , este mes me a tocado con 5 estafadores .....!!! ojo estos tipos , no piden ni descuentos solo insisten en transferir una reserva ...!! suerte y buenas ventas ....!!!","hola   cuidado al publicar   estan llamando ""compradores "" que te piden tus datos de bancos para transferir y asi tratar de descubrir tu clave con los datos dados y terminan bloqueando tu cuenta   este mes me a tocado con 5 estafadores      !!! ojo estos tipos   no piden ni descuentos solo insisten en transferir una reserva    !! suerte y buenas ventas     !!!"
1,1,"Considero que la aplicación carece de algunas cosas, por ejemplo: Sistema de reputación de vendedores, más que nada para detectar más fácilmente a estafadores u otro tipo de vendedores Distinta personalización de la aplicacion, es solo estética este punto no es necesario Poder ver los avisos activos y no activos, la aplicación muestra cuántos anuncios tiene y cuantos tiene activos, pero no muestra cuáles son esos Mejorar filtros de búsqueda, no hay mucho que decir de este punto.",Calificación: 3 de cinco estrellas,3,neutral,1,"considero que la aplicación carece de algunas cosas, por ejemplo: sistema de reputación de vendedores, más que nada para detectar más fácilmente a estafadores u otro tipo de vendedores distinta personalización de la aplicación, es solo estética este punto no es necesario poder ver los avisos activos y no activos, la aplicación muestra cuántos anuncios tiene y cuantos tiene activos, pero no muestra cuáles son esos mejorar filtros de búsqueda, no hay mucho que decir de este punto.",considero que la aplicacion carece de algunas cosas  por ejemplo  sistema de reputacion de vendedores  mas que nada para detectar mas facilmente a estafadores u otro tipo de vendedores distinta personalizacion de la aplicacion  es solo estetica este punto no es necesario poder ver los avisos activos y no activos  la aplicacion muestra cuantos anuncios tiene y cuantos tiene activos  pero no muestra cuales son esos mejorar filtros de busqueda  no hay mucho que decir de este punto 
2,2,"Buena app e vendido hartas cosas .. pero encuentro que está muy obsoleto el sistema que tienen , por ejemplo no deja ver los demás anuncios de los vendedores pero si sale sus anuncios totales y los activos. Faltan algunos detalles , y a mi parecer la app está un poco botada... Por lo de menos tiene buen alcanse de clientela , Saludos .",Calificación: 3 de cinco estrellas,3,neutral,1,"buena app e vendido hartas cosas .. pero encuentro que está muy obsoleto el sistema que tienen , por ejemplo no deja ver los demás anuncios de los vendedores pero si sale sus anuncios totales y los activos. faltan algunos detalles , y a mi parecer la app está un poco botada... por lo de menos tiene buen alcanse de clientela , saludos .",buena app e vendido hartas cosas    pero encuentro que esta muy obsoleto el sistema que tienen   por ejemplo no deja ver los demas anuncios de los vendedores pero si sale sus anuncios totales y los activos  faltan algunos detalles   y a mi parecer la app esta un poco botada    por lo de menos tiene buen alcanse de clientela   saludos  
3,3,"Es demasiado básica. Necesita ajustes de personalización. Las imágenes son de muy baja calidad, a penas se pueden ver los detalles. Todo esto podría mejorar y más si agregaran ajustes para personalizar esta app. Hoy todos apuestan por el modo de interfaz oscuro y Yapo.cl? Por qué no crean un chat dentro de la app, entre compradores y vendedores? Debo dar a todos los vendedores mi correo o wsp para resolver una duda? Se están quedando demasiado atrás.",Calificación: 2 de cinco estrellas,2,negative,0,"es demasiado básica. necesita ajustes de personalización. las imágenes son de muy baja calidad, a penas se pueden ver los detalles. todo esto podría mejorar y más si agregaran ajustes para personalizar esta app. hoy todos apuestan por el modo de interfaz oscuro y yapo.cl? por qué no crean un chat dentro de la app, entre compradores y vendedores? debo dar a todos los vendedores mi correo o wsp para resolver una duda? se están quedando demasiado atrás.",es demasiado basica  necesita ajustes de personalizacion  las imagenes son de muy baja calidad  a penas se pueden ver los detalles  todo esto podria mejorar y mas si agregaran ajustes para personalizar esta app  hoy todos apuestan por el modo de interfaz oscuro y yapo cl? por que no crean un chat dentro de la app  entre compradores y vendedores? debo dar a todos los vendedores mi correo o wsp para resolver una duda? se estan quedando demasiado atras 
4,4,Horrible...apenas abro la aplicación se cae inmediatamente...nose si es constante este problema o solo de este momento porque recién la instale...pero de primera impresión mala...,Calificación: 1 de cinco estrellas,1,negative,0,horrible...apenas abro la aplicación se cae inmediatamente...nose si es constante este problema o solo de este momento porque recién la instale...pero de primera impresión mala...,horrible   apenas abro la aplicacion se cae inmediatamente   nose si es constante este problema o solo de este momento porque recien la instale   pero de primera impresion mala   
5,5,Estimados! Sería bueno evaluaran para la próxima actualización agregar la opción del TEMA OSCURO (hoy en día todos buscamos ahorrar batería 😅) Saludos al equipo!,Calificación: 5 de cinco estrellas,5,positive,2,estimados! sería bueno evaluaran para la próxima actualización agregar la opción del tema oscuro (hoy en día todos buscamos ahorrar batería 😅) saludos al equipo!,estimados! seria bueno evaluaran para la proxima actualizacion agregar la opcion del tema oscuro (hoy en dia todos buscamos ahorrar bateria 😅) saludos al equipo!
6,6,"La app es buena, pero puede mejorar... De partida podrían agregar un sistema de reputación, tanto para vendedores como compradores, así se podría identificar más facilmente a los estafadores (en yapo abundan). También hay que mejorar el chat, 8 de cada 10 mensajes no se reciben... El filtro no está mal de todo, pero también podría filtrar un poquito mejor los resultados... Ojalá se tomen en consideración mis propuestas.",Calificación: 3 de cinco estrellas,3,neutral,1,"la app es buena, pero puede mejorar... de partida podrían agregar un sistema de reputación, tanto para vendedores como compradores, así se podría identificar más facilmente a los estafadores (en yapo abundan). también hay que mejorar el chat, 8 de cada 10 mensajes no se reciben... el filtro no está mal de todo, pero también podría filtrar un poquito mejor los resultados... ojalá se tomen en consideración mis propuestas.",la app es buena  pero puede mejorar    de partida podrian agregar un sistema de reputacion  tanto para vendedores como compradores  asi se podria identificar mas facilmente a los estafadores (en yapo abundan)  tambien hay que mejorar el chat  8 de cada 10 mensajes no se reciben    el filtro no esta mal de todo  pero tambien podria filtrar un poquito mejor los resultados    ojala se tomen en consideracion mis propuestas 
7,7,Me voy muy triste y molesto a la vez de esta app Ya que fui estafado Al tener todos mis papeles de denuncia Yapo no me dio ningúna solución más que lamentar.,Calificación: 1 de cinco estrellas,1,negative,0,me voy muy triste y molesto a la vez de esta app ya que fui estafado al tener todos mis papeles de denuncia yapo no me dio ningúna solución más que lamentar.,me voy muy triste y molesto a la vez de esta app ya que fui estafado al tener todos mis papeles de denuncia yapo no me dio ninguna solucion mas que lamentar 
8,8,"Deben mejorar un sistema de calificación tanto para compradores como vendedores, así también los mensajes fallan en ser enviados como también las notificaciones de la conversación.",Calificación: 3 de cinco estrellas,3,neutral,1,"deben mejorar un sistema de calificación tanto para compradores como vendedores, así también los mensajes fallan en ser enviados como también las notificaciónes de la conversación.",deben mejorar un sistema de calificacion tanto para compradores como vendedores  asi tambien los mensajes fallan en ser enviados como tambien las notificaciones de la conversacion 
9,9,Ojo muchachos hay gente que esta estafando por este medio Pongan mucha atencion si les hacen transferencias ya que ahi te joden Para los que no nos manejamos mucho con las tranferencias mucho cuidado,Calificación: 1 de cinco estrellas,1,negative,0,ojo muchachos hay gente que esta estafando por este medio pongan mucha atención si les hacen transferencias ya que ahi te joden para los que no nos manejamos mucho con las transferencias mucho cuidado,ojo muchachos hay gente que esta estafando por este medio pongan mucha atencion si les hacen transferencias ya que ahi te joden para los que no nos manejamos mucho con las transferencias mucho cuidado
